"SECONDS";"PID";"VALUE";"UNITS";
"35726.3964491";"Engine RPM x1000";"1.1";"rpm";
"35726.6787929";"Engine coolant temperature";"45";"℃";
"35726.8947876";"Average speed";"0";"km/h";
"35726.8947876";"Distance travelled";"0";"km";
"35726.8947876";"Distance travelled (Today)";"0";"km";
"35726.8947876";"Distance travelled (total)";"65.957169";"km";
"35726.8947876";"Distance travelled (Week)";"65.957169";"km";
"35726.8947876";"Vehicle acceleration";"0";"g";
"35726.8947876";"Vehicle speed";"0";"km/h";
"35727.2064102";"Engine RPM";"1162";"rpm";
"35727.2064102";"Engine RPM x1000";"1.2";"rpm";
"35728.2212302";"Calculated boost";"-0.70325";"bar";
"35728.2212302";"Intake manifold absolute pressure";"31";"kPa";
"35728.7642575";"Fuel economizer (based on fuel system status and throttle position)";"1";"";
"35728.7642575";"Throttle position";"0";"%";
"35729.0056399";"Calculated instant fuel rate";"1.065153715620951";"L/h";
"35729.0056399";"Engine RPM";"1155";"rpm";
"35729.0056399";"Engine RPM x1000";"1.2";"rpm";
"35729.0056399";"Instant engine power (based on fuel consumption)";"4.167092131549715";"hp";
"35729.3051472";"Average speed";"0";"km/h";
"35729.3051472";"Distance travelled";"0";"km";
