time,"Average fuel consumption (km/L)","Average fuel consumption (Today) (km/L)","Average fuel consumption (total) (km/L)","Average fuel consumption (Week) (km/L)","Average fuel consumption 10 sec (km/L)","Average speed (km/h)","Calculated boost (bar)","Calculated engine load value (%)","Calculated instant fuel consumption (km/L)","Calculated instant fuel rate (L/h)","Distance travelled (km)","Distance travelled (Today) (km)","Distance travelled (total) (km)","Distance travelled (Week) (km)","Engine coolant temperature (℃)","Engine RPM (rpm)","Engine RPM x1000 (rpm)","Fuel economizer (based on fuel system status and throttle position) ()","Fuel used (L)","Fuel used (Today) (L)","Fuel used (total) (L)","Fuel used (Week) (L)","Fuel used price (₹$)","Fuel used price (Today) (₹$)","Fuel used price (total) (₹$)","Fuel used price (Week) (₹$)","Instant engine power (based on fuel consumption) (hp)","Intake air temperature (℃)","Intake manifold absolute pressure (kPa)","Throttle position (%)","Vehicle acceleration (g)","Vehicle speed (km/h)",
09:49:10.939,12.829749548060464,11.869874531108524,16.60430368109834,11.869874531108524,12.832748942917869,23.614696402453514,-0.41325000000000006,4.705882352941177,12.956125701436441,3.747417730298727,21.691586854972222,3.395342,364.29933600000004,3.395342,81,1707,1.7,1,1.6907256664454098,0.286047,21.940055,0.286047,194.43345164122212,32.895405,2288.4941588200004,32.895405,14.66063978235684,38,60,9.019607843137255,0.03347752811358281,51,
09:49:11.237,12.829749548060464,11.869874531108524,16.60430368109834,11.869874531108524,12.832748942917869,23.625564979802146,-0.41325000000000006,4.705882352941177,13.87622190597225,3.747417730298727,21.70988292352778,3.413638,364.317632,3.413638,81,1707,1.7,1,1.6907256664454098,0.286047,21.940055,0.286047,194.43345164122212,32.895405,2288.4941588200004,32.895405,14.66063978235684,38,60,9.019607843137255,0.028126579691196623,52,
09:49:11.456,12.829749548060464,11.869874531108524,16.60430368109834,11.869874531108524,12.832748942917869,23.625564979802146,-0.42325,4.705882352941177,13.87622190597225,3.747417730298727,21.70988292352778,3.413638,364.317632,3.413638,81,1707,1.7,1,1.6907256664454098,0.286047,21.940055,0.286047,194.43345164122212,32.895405,2288.4941588200004,32.895405,14.66063978235684,38,59,9.019607843137255,0.028126579691196623,52,
09:49:11.926,12.829749548060464,11.869874531108524,16.60430368109834,11.869874531108524,12.832748942917869,23.625564979802146,-0.42325,4.705882352941177,13.87622190597225,3.747417730298727,21.70988292352778,3.413638,364.317632,3.413638,81,1707,1.7,1,1.6907256664454098,0.286047,21.940055,0.286047,194.43345164122212,32.895405,2288.4941588200004,32.895405,14.66063978235684,38,59,8.627450980392156,0.028126579691196623,52,
09:49:12.149,12.831056585915738,11.881747714069915,16.60418856504869,11.881747714069915,12.831940303676246,23.625564979802146,-0.42325,4.705882352941177,13.87622190597225,3.730294204641826,21.70988292352778,3.413638,364.317632,3.413638,81,1728,1.7,1,1.6919793610261262,0.287301,21.941309,0.287301,194.5776265180045,33.039615,2288.6383688200003,33.039615,14.593649161207232,38,59,8.627450980392156,0.028126579691196623,52,
09:49:12.378,12.831056585915738,11.881747714069915,16.60418856504869,11.881747714069915,12.831940303676246,23.63537257931556,-0.42325,4.705882352941177,13.939919252292038,3.730294204641826,21.726404986083335,3.43016,364.334154,3.43016,81,1728,1.7,1,1.6919793610261262,0.287301,21.941309,0.287301,194.5776265180045,33.039615,2288.6383688200003,33.039615,14.593649161207232,38,59,8.627450980392156,0.011628234349347621,52,
09:49:12.591,12.831056585915738,11.881747714069915,16.60418856504869,11.881747714069915,12.831940303676246,23.63537257931556,-0.42325,4.705882352941177,13.939919252292038,3.730294204641826,21.726404986083335,3.43016,364.334154,3.43016,81,1728,1.7,1,1.6919793610261262,0.287301,21.941309,0.287301,194.5776265180045,33.039615,2288.6383688200003,33.039615,14.593649161207232,38,59,8.627450980392156,0.011628234349347621,52,
09:49:13.052,12.831056585915738,11.881747714069915,16.60418856504869,11.881747714069915,12.831940303676246,23.63537257931556,-0.42325,4.705882352941177,13.939919252292038,3.730294204641826,21.726404986083335,3.43016,364.334154,3.43016,81,1728,1.7,1,1.6919793610261262,0.287301,21.941309,0.287301,194.5776265180045,33.039615,2288.6383688200003,33.039615,14.593649161207232,38,59,9.019607843137255,0.011628234349347621,52,
09:49:13.273,12.831867009913111,11.89037790919364,16.604047854186103,11.89037790919364,12.83193215988344,23.63537257931556,-0.42325,4.705882352941177,13.939919252292038,3.784262581445094,21.726404986083335,3.43016,364.334154,3.43016,81,1753,1.8,1,1.6931600810154008,0.288482,21.94249,0.288482,194.7134093167711,33.17543,2288.77418382,33.17543,14.804784131710813,38,59,9.019607843137255,0.011628234349347621,52,
09:49:13.501,12.831867009913111,11.89037790919364,16.604047854186103,11.89037790919364,12.83193215988344,23.645336655016617,-0.42325,4.705882352941177,14.005370626200289,3.784262581445094,21.7429421565,3.446697,364.350691,3.446697,81,1753,1.8,1,1.6931600810154008,0.288482,21.94249,0.288482,194.7134093167711,33.17543,2288.77418382,33.17543,14.804784131710813,38,59,9.019607843137255,0.011690705605719984,53,
09:49:13.721,12.831867009913111,11.89037790919364,16.604047854186103,11.89037790919364,12.83193215988344,23.645336655016617,-0.42325,4.705882352941177,14.005370626200289,3.784262581445094,21.7429421565,3.446697,364.350691,3.446697,81,1753,1.8,1,1.6931600810154008,0.288482,21.94249,0.288482,194.7134093167711,33.17543,2288.77418382,33.17543,14.804784131710813,38,59,9.019607843137255,0.011690705605719984,53,
09:49:14.182,12.831867009913111,11.89037790919364,16.604047854186103,11.89037790919364,12.83193215988344,23.645336655016617,-0.42325,4.705882352941177,14.005370626200289,3.784262581445094,21.7429421565,3.446697,364.350691,3.446697,81,1753,1.8,1,1.6931600810154008,0.288482,21.94249,0.288482,194.7134093167711,33.17543,2288.77418382,33.17543,14.804784131710813,38,59,8.627450980392156,0.011690705605719984,53,
09:49:14.417,12.83236932921828,11.897305525639961,16.603876819017675,11.897305525639961,12.831196427541975,23.645336655016617,-0.42325,4.705882352941177,14.005370626200289,3.8447071634647516,21.7429421565,3.446697,364.350691,3.446697,81,1781,1.8,1,1.6943825102503136,0.289704,21.943712,0.289704,194.85398867878607,33.315960000000004,2288.91471382,33.315960000000004,15.041255298674814,38,59,8.627450980392156,0.011690705605719984,53,
09:49:14.621,12.83236932921828,11.897305525639961,16.603876819017675,11.897305525639961,12.831196427541975,23.655242042476893,-0.42325,4.705882352941177,13.78518512505846,3.8447071634647516,21.759393054694446,3.463148,364.367142,3.463148,81,1781,1.8,1,1.6943825102503136,0.289704,21.943712,0.289704,194.85398867878607,33.315960000000004,2288.91471382,33.315960000000004,15.041255298674814,38,59,8.627450980392156,0.012178180461512386,53,
09:49:14.860,12.83236932921828,11.897305525639961,16.603876819017675,11.897305525639961,12.831196427541975,23.655242042476893,-0.47325000000000006,4.705882352941177,13.78518512505846,3.8447071634647516,21.759393054694446,3.463148,364.367142,3.463148,81,1781,1.8,1,1.6943825102503136,0.289704,21.943712,0.289704,194.85398867878607,33.315960000000004,2288.91471382,33.315960000000004,15.041255298674814,38,54,8.627450980392156,0.012178180461512386,53,
