time,"Average fuel consumption (km/L)","Average fuel consumption (Today) (km/L)","Average fuel consumption (total) (km/L)","Average fuel consumption (Week) (km/L)","Average fuel consumption 10 sec (km/L)","Average speed (km/h)","Calculated instant fuel consumption (km/L)","Calculated instant fuel rate (L/h)","Distance travelled (km)","Distance travelled (Today) (km)","Distance travelled (total) (km)","Distance travelled (Week) (km)","Engine RPM (rpm)","Engine RPM x1000 (rpm)","Fuel economizer (based on fuel system status and throttle position) ()","Fuel used (L)","Fuel used (Today) (L)","Fuel used (total) (L)","Fuel used (Week) (L)","Fuel used price (₹$)","Fuel used price (Today) (₹$)","Fuel used price (total) (₹$)","Fuel used price (Week) (₹$)","Instant engine power (based on fuel consumption) (hp)","Vehicle acceleration (g)","Vehicle speed (km/h)",
19:55:33.477,24.585156696368568,20.57918173530298,17.179110314579738,20.57918173530298,20.977444372968925,32.01620858996255,33.17427054671435,1.0628135580699622,12.455118684027774,32.03127,316.235588,32.03127,1093,1.1,,0.506611319905376,1.556489,18.408147,1.556489,58.26030178911824,178.996235,1882.3247388200002,178.996235,4.15793697208841,-0.08084346455697267,35,
19:55:33.774,24.585156696368568,20.57918173530298,17.179110314579738,20.57918173530298,20.977444372968925,32.01663250032905,31.0496603561654,1.0628135580699622,12.460652823444441,32.036804,316.241122,32.036804,1093,1.1,,0.506611319905376,1.556489,18.408147,1.556489,58.26030178911824,178.996235,1882.3247388200002,178.996235,4.15793697208841,-0.02318312776425594,33,
19:55:34.110,24.588368782663075,20.58063479990338,17.17926255680452,20.58063479990338,20.977444372968925,32.01663250032905,31.0496603561654,0.9021112213541687,12.460652823444441,32.036804,316.241122,32.036804,994,1,,0.5067702104838396,1.556648,18.408306,1.556648,58.27857420564156,179.01452,1882.34302382,179.01452,3.5292376275439046,-0.02318312776425594,33,
19:55:34.420,24.588368782663075,20.58063479990338,17.17926255680452,20.58063479990338,20.977444372968925,32.01616404876632,34.36383371161881,0.9021112213541687,12.46621478144444,32.042366,316.246684,32.042366,994,1,,0.5067702104838396,1.556648,18.408306,1.556648,58.27857420564156,179.01452,1882.34302382,179.01452,3.5292376275439046,-0.056880171039214035,31,
19:55:34.722,24.592557889455865,20.582356749923562,17.179434048914285,20.582356749923562,20.977444372968925,32.01616404876632,34.36383371161881,0.8231538005716607,12.46621478144444,32.042366,316.246684,32.042366,907,0.9,,0.5069100513041537,1.556788,18.408446,1.556788,58.29465589997767,179.03062,1882.3591238200001,179.03062,3.2203405716119926,-0.056880171039214035,31,
19:55:35.042,24.592557889455865,20.582356749923562,17.179434048914285,20.582356749923562,20.977444372968925,32.01526945725078,36.44519405628172,0.8231538005716607,12.471400133111107,32.047551,316.251869,32.047551,907,0.9,,0.5069100513041537,1.556788,18.408446,1.556788,58.29465589997767,179.03062,1882.3591238200001,179.03062,3.2203405716119926,-0.05684818666800867,30,
19:55:35.319,24.592392728129102,20.582857953939687,17.179515999535,20.582857953939687,20.977444372968925,32.01526945725078,36.44519405628172,1.2922957169944924,12.471400133111107,32.047551,316.251869,32.047551,1329,1.3,,0.507124307544347,1.557002,18.40866,1.557002,58.319295367599906,179.05523,1882.38373382,179.05523,5.055716592777217,-0.05684818666800867,30,
19:55:35.632,24.592392728129102,20.582857953939687,17.179515999535,20.582857953939687,20.977444372968925,32.014423692488364,23.214500834043896,1.2922957169944924,12.47630670394444,32.052458,316.256776,32.052458,1329,1.3,,0.507124307544347,1.557002,18.40866,1.557002,58.319295367599906,179.05523,1882.38373382,179.05523,5.055716592777217,-0.05752008441579979,30,
19:55:35.946,24.592869575620497,20.583497731814703,17.179605244216773,20.583497731814703,20.977444372968925,32.014423692488364,23.214500834043896,1.0890678728621757,12.47630670394444,32.052458,316.256776,32.052458,1120,1.1,,0.5073139865025146,1.557192,18.40885,1.557192,58.341108447789175,179.07708,1882.4055838200002,179.07708,4.260649047336707,-0.05752008441579979,30,
19:55:36.233,24.592869575620497,20.583497731814703,17.179605244216773,20.583497731814703,20.977444372968925,32.01356146653061,27.546492507539586,1.0890678728621757,12.481313014777774,32.057464,316.261782,32.057464,1120,1.1,,0.5073139865025146,1.557192,18.40885,1.557192,58.341108447789175,179.07708,1882.4055838200002,179.07708,4.260649047336707,-0.03456631148296943,30,
